Number of genes	284376
Number of genes in orthogroups	158040
Number of unassigned genes	126336
Percentage of genes in orthogroups	55.6
Percentage of unassigned genes	44.4
Number of orthogroups	11520
Number of species-specific orthogroups	987
Number of genes in species-specific orthogroups	8262
Percentage of genes in species-specific orthogroups	2.9
Mean orthogroup size	13.7
Median orthogroup size	9.0
G50 (assigned genes)	20
G50 (all genes)	6
O50 (assigned genes)	1890
O50 (all genes)	7615
Number of orthogroups with all species present	3834
Number of single-copy orthogroups	138
Date	2020-06-16
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	2248	19.5	6772	4.3
'1	4133	35.9	28255	17.9
'2	2138	18.6	25073	15.9
'3	1040	9.0	17482	11.1
'4	597	5.2	13023	8.2
'5	360	3.1	9636	6.1
'6	243	2.1	7707	4.9
'7	165	1.4	6081	3.8
'8	124	1.1	5201	3.3
'9	94	0.8	4391	2.8
'10	70	0.6	3640	2.3
11-15	166	1.4	10759	6.8
16-20	61	0.5	5524	3.5
21-50	70	0.6	10081	6.4
51-100	8	0.1	2774	1.8
101-150	3	0.0	1641	1.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	987
2	2660
3	1427
4	2612
5	3834
